backend,build_docs_per_s,build_s,client_cpu_usec,client_end_anon_mib,client_end_file_mib,client_peak_anon_mib,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,end_anon_mib_sum,engine_version,error,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,ingest_rows_per_s,ingest_s,insert_mean_ms,insert_n,insert_p50_ms,insert_p95_ms,insert_p99_ms,k,lane,manifest,mem_cap,mem_split,n_docs,n_persons,n_queries,n_rows,olap_agg_by_region_ms,olap_filtered_avg_ms,olap_range_agg_ms,olap_status_histogram_ms,olap_top_customers_ms,olap_total_ms,oltp_ops_per_s,oltp_total_s,peak_anon_mib_sum,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,qps,query_mean_ms,query_n,query_p50_ms,query_p95_ms,query_p99_ms,rc,read_mean_ms,read_n,read_p50_ms,read_p95_ms,read_p99_ms,recall_at_10,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,schema_s,server_cpu_usec,server_end_anon_mib,server_end_file_mib,server_peak_anon_mib,server_peak_mib,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,update_mean_ms,update_n,update_p50_ms,update_p95_ms,update_p99_ms,workload,write_p50_ms,write_p95_ms
arcadedb_embedded,,,702842840,8941.7,2268.8,12912.5,15771.7,0.388,702842840,0-11,,8941.7,26.8.1.dev0,,,,,16g,,,,,,,30539.3,654.89,0.3865,1006,0.3759,0.4861,0.5466,,l1,20260711T035309Z,32g,,,,,20000000,,,,,,,6031.0,,12912.5,15771.7,,,,,,,,,,0,0.081,3068,0.0741,0.1463,0.1895,,2,l1_arcadedb_embedded_oltp_r2,,,,medium,0.174,,,,,,paper,,,,embedded,2026-07-11T07:04:21.425856+00:00,0.207,926,0.1947,0.3637,0.4363,oltp,,
postgres,,,55952999,88.0,0.8,88.0,95.2,0.117,115130495,0-11,,92.6,17.10 (Debian 17.10-1.pgdg13+1),,,,,16g,,,,,,,333645.0,59.94,2.4745,1006,2.5099,2.7972,2.8946,,l1,20260711T035309Z,32g,0.75,,,,20000000,,,,,,,517.3,,102.6,3933.8,,,,,,,,,,0,1.1694,3068,1.028,1.6708,1.7976,,3,l1_postgres_oltp_r3,,,,medium,0.018,59177496,4.6,3712.5,14.6,3838.6,paper,,,,client_server,2026-07-11T07:15:19.087884+00:00,3.8747,926,3.8255,4.5245,4.8023,oltp,,
duckdb,,,96686526,336.3,814.9,2080.6,2763.4,0.051,96686526,0-11,,336.3,1.5.4,,,,,16g,,,,,,,329174.5,60.76,8.6549,1006,8.6486,9.6206,9.9647,,l1,20260711T035309Z,32g,,,,,20000000,,,,,,,267.8,,2080.6,2763.4,,,,,,,,,,0,1.1676,3068,1.0946,1.931,2.7144,,2,l1_duckdb_oltp_r2,,,,medium,0.023,,,,,,paper,,,,embedded,2026-07-11T07:16:32.679521+00:00,6.8921,926,8.153,9.3315,11.26,oltp,,
arcadedb_embedded,,,821888233,7320.2,2268.7,13104.3,15469.6,0.363,821888233,0-11,,7320.2,26.8.1.dev0,"r.py"", line 411, in <module>
    main()
  File ""/work/l1_tabular.py"", line 398, in main
    out.update(b.olap())
               ^^^^^^^^
  File ""/work/l1_tabular.py"", line 163, in olap
    self.query_all(sql)
  File ""/work/l1_tabular.py"", line 280, in query_all
    return self.db.query(""sql"", sql, *(params or ())).to_json_list()
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/arcadedb_embedded/core.py"", line 112, in query
    raise ArcadeDBError(f""Query failed: {e}"") from e
arcadedb_embedded.exceptions.ArcadeDBError: Query failed: com.arcadedb.exception.CommandExecutionException: Limit of allowed groups for in-heap GROUP BY in a single query exceeded (500000). You can set arcadedb.queryMaxHeapElementsAllowedPerOp to increase this limit
",,,,16g,,,,,,,43057.3,46.45,,,,,,,l1,20260711T035309Z,32g,,,,,2000000,1683.515,1170.164,1199.327,1296.177,1451.329,6800.512,,,13104.3,15469.6,,,,,,,,,,1,,,,,,,3,l1_arcadedb_embedded_olap_r3,,,,medium,0.161,,,,,,paper,,,,embedded,2026-07-11T07:17:54.139151+00:00,,,,,,olap,,
postgres,,,53984124,109.2,0.8,109.2,116.2,0.116,112118618,0-11,,113.8,17.10 (Debian 17.10-1.pgdg13+1),,,,,16g,,,,,,,336735.3,59.39,2.4492,1006,2.4781,2.799,2.9344,,l1,20260711T035309Z,32g,0.75,,,,20000000,,,,,,,529.1,,123.8,3953.4,,,,,,,,,,0,1.1216,3068,1.0073,1.6679,1.7153,,5,l1_postgres_oltp_r5,,,,medium,0.017,58134494,4.6,3712.2,14.6,3837.2,paper,,,,client_server,2026-07-11T07:30:50.991294+00:00,3.8279,926,3.7925,4.5162,4.6551,oltp,,
arcadedb_graph_server,,1120.55,28087303,19.7,0.2,19.8,22.9,0.245,1538241839,0-11,,15577.4,server:latest,,11463.05,10898.76,10,16g,,,,,,,,,,,,,,,l2,20260711T035309Z,32g,0.75,,1000000,,,,,,,,,,,15606.9,17294.5,,,,,,,,,,0,,,,,,,5,l2_arcadedb_graph_server_olap_r5,10380.68,9754.88,10,medium,,1510154536,15557.7,1597.8,15587.1,17271.6,paper,1089.17,1028.24,10,client_server,2026-07-11T07:32:03.806006+00:00,,,,,,olap,,
arcadedb_sparse_embedded,17342.6,576.62,857179713,68.8,3857.6,16918.0,22146.0,0.51,857179713,0-11,30000,68.8,26.8.1.dev0,,,,,16g,,,,,,,,,,,,,,10,l3s,20260711T035309Z,32g,,10000000,,100,,,,,,,,,,16918.0,22146.0,,,,18.2,54.934,95,54.009,66.8,69.923,0,,,,,,0.993,1,l3s_arcadedb_sparse_embedded_search_r1,,,,medium,,,,,,,paper,,,,embedded,2026-07-11T07:53:04.905197+00:00,,,,,,search,,
arcadedb_embedded,,,834113069,264.6,2285.5,12929.0,15310.5,0.386,834113069,0-11,,264.6,26.8.1.dev0,"r.py"", line 411, in <module>
    main()
  File ""/work/l1_tabular.py"", line 398, in main
    out.update(b.olap())
               ^^^^^^^^
  File ""/work/l1_tabular.py"", line 163, in olap
    self.query_all(sql)
  File ""/work/l1_tabular.py"", line 280, in query_all
    return self.db.query(""sql"", sql, *(params or ())).to_json_list()
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/arcadedb_embedded/core.py"", line 112, in query
    raise ArcadeDBError(f""Query failed: {e}"") from e
arcadedb_embedded.exceptions.ArcadeDBError: Query failed: com.arcadedb.exception.CommandExecutionException: Limit of allowed groups for in-heap GROUP BY in a single query exceeded (500000). You can set arcadedb.queryMaxHeapElementsAllowedPerOp to increase this limit
",,,,16g,,,,,,,44483.4,44.96,,,,,,,l1,20260711T035309Z,32g,,,,,2000000,1687.224,1176.465,1207.406,1301.542,1454.006,6826.643,,,12929.0,15310.5,,,,,,,,,,1,,,,,,,4,l1_arcadedb_embedded_olap_r4,,,,medium,0.16,,,,,,paper,,,,embedded,2026-07-11T08:06:40.741062+00:00,,,,,,olap,,
arcadedb_graph_server,,1101.26,28229014,19.7,0.8,20.2,23.9,0.249,1369429277,0-11,,14025.7,server:latest,,,,,16g,1.395,1.853,1.912,1.816,2.776,3.521,,,,,,,,,l2,20260711T035309Z,32g,0.75,,1000000,,,,,,,,,,1.25,14034.6,15884.4,1.102,1.613,1.973,,,,,,,0,,,,,,,3,l2_arcadedb_graph_server_oltp_r3,,,,medium,,1341200263,14006.1,1599.8,14014.4,15860.6,paper,,,,client_server,2026-07-11T08:19:49.848358+00:00,,,,,,oltp,1.49,2.105
neo4j_graph,,490.14,167695003,172.5,1.1,173.5,178.9,0.759,874228042,0-11,,17874.7,neo4j-driver:6.2.0,,22607.35,22161.39,10,16g,,,,,,,,,,,,,,,l2,20260711T035309Z,32g,0.75,,1000000,,,,,,,,,,,17875.8,19990.5,,,,,,,,,,0,,,,,,,4,l2_neo4j_graph_olap_r4,22405.06,21693.41,10,medium,,706533039,17702.1,2007.0,17702.3,19811.6,paper,13720.22,13619.18,10,client_server,2026-07-11T08:38:15.579610+00:00,,,,,,olap,,
