backend,build_s,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,engine_version,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,lane,manifest,mem_cap,mem_split,n_persons,oltp_total_s,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,rc,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,server_cpu_usec,server_peak_mib,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,workload,write_p50_ms,write_p95_ms
ladybug_graph,0.47,1142657,242.7,0.125,1142657,0-11,real_ladybug:0.15.3,9.36,8.7,10,4g,,,,,,,l2,20260707T203801Z,8g,,10000,,242.7,,,,0,5,l2_ladybug_graph_olap_r5,9.31,8.54,10,tiny,,,paper,3.76,3.53,10,embedded,2026-07-07T20:43:10.070896+00:00,olap,,
ladybug_graph,0.46,5602265,241.2,0.171,5602265,0-11,real_ladybug:0.15.3,,,,4g,1.075,1.173,1.41,4.24,4.552,4.843,l2,20260707T203801Z,8g,,10000,2.62,241.2,0.138,0.213,0.246,0,4,l2_ladybug_graph_oltp_r4,,,,tiny,,,paper,,,,embedded,2026-07-07T20:43:11.665429+00:00,oltp,16.142,19.679
arcadedb_graph_embedded,2.14,13077653,1696.5,0.517,13077653,0-11,26.7.2.dev0,,,,4g,0.579,0.796,1.441,1.003,2.09,2.487,l2,20260707T203801Z,8g,,10000,1.28,1696.5,0.523,0.798,3.966,0,3,l2_arcadedb_graph_embedded_oltp_r3,,,,tiny,,,paper,,,,embedded,2026-07-07T20:43:15.867258+00:00,oltp,7.326,8.053
arcadedb_graph_embedded,2.14,12186945,1670.1,0.525,12186945,0-11,26.7.2.dev0,,,,4g,0.563,0.878,1.344,0.921,1.559,1.884,l2,20260707T203801Z,8g,,10000,1.21,1670.1,0.502,0.767,0.92,0,1,l2_arcadedb_graph_embedded_oltp_r1,,,,tiny,,,paper,,,,embedded,2026-07-07T20:43:20.686271+00:00,oltp,7.069,7.932
ladybug_graph,0.44,1167246,235.4,0.132,1167246,0-11,real_ladybug:0.15.3,10.01,9.4,10,4g,,,,,,,l2,20260707T203801Z,8g,,10000,,235.4,,,,0,4,l2_ladybug_graph_olap_r4,10.07,9.19,10,tiny,,,paper,3.8,3.64,10,embedded,2026-07-07T20:43:25.290435+00:00,olap,,
neo4j_graph,5.96,3203209,94.1,0.742,32634781,0-11,neo4j-driver:6.2.0,67.54,66.87,10,4g,,,,,,,l2,20260707T203801Z,8g,0.75,10000,,5026.8,,,,0,3,l2_neo4j_graph_olap_r3,63.64,61.57,10,tiny,29431572,4932.8,paper,43.37,36.44,10,client_server,2026-07-07T20:43:26.871386+00:00,olap,,
arcadedb_graph_embedded,3.22,12717270,1994.6,0.507,12717270,0-11,26.7.2.dev0,77.96,54.96,10,4g,,,,,,,l2,20260707T203801Z,8g,,10000,,1994.6,,,,0,1,l2_arcadedb_graph_embedded_olap_r1,70.93,52.65,10,tiny,,,paper,18.06,13.05,10,embedded,2026-07-07T20:43:46.003241+00:00,olap,,
arcadedb_graph_embedded,3.13,12147914,2055.5,0.53,12147914,0-11,26.7.2.dev0,80.58,56.7,10,4g,,,,,,,l2,20260707T203801Z,8g,,10000,,2055.5,,,,0,2,l2_arcadedb_graph_embedded_olap_r2,77.09,56.66,10,tiny,,,paper,18.2,13.18,10,embedded,2026-07-07T20:43:51.859872+00:00,olap,,
arcadedb_graph_embedded,3.22,12553093,1963.1,0.514,12553093,0-11,26.7.2.dev0,81.0,66.72,10,4g,,,,,,,l2,20260707T203801Z,8g,,10000,,1963.1,,,,0,4,l2_arcadedb_graph_embedded_olap_r4,61.8,50.17,10,tiny,,,paper,12.87,10.43,10,embedded,2026-07-07T20:43:57.823589+00:00,olap,,
arcadedb_graph_server,7.42,802150,22.1,0.242,27841198,0-11,server:latest,,,,4g,1.587,2.103,2.339,2.048,3.031,3.332,l2,20260707T203801Z,8g,0.75,10000,1.94,3692.3,1.391,1.977,2.242,0,5,l2_arcadedb_graph_server_oltp_r5,,,,tiny,27039048,3670.2,paper,,,,client_server,2026-07-07T20:44:03.535623+00:00,oltp,6.562,8.549
arcadedb_graph_server,8.47,431095,22.3,0.238,27521114,0-11,server:latest,66.61,61.15,10,4g,,,,,,,l2,20260707T203801Z,8g,0.75,10000,,3618.8,,,,0,1,l2_arcadedb_graph_server_olap_r1,61.73,58.19,10,tiny,27090019,3596.5,paper,17.06,13.78,10,client_server,2026-07-07T20:44:16.055929+00:00,olap,,
arcadedb_graph_server,8.48,434753,21.9,0.239,26780917,0-11,server:latest,62.0,57.46,10,4g,,,,,,,l2,20260707T203801Z,8g,0.75,10000,,3627.8,,,,0,3,l2_arcadedb_graph_server_olap_r3,61.39,56.85,10,tiny,26346164,3605.9,paper,18.71,14.88,10,client_server,2026-07-07T20:44:28.932532+00:00,olap,,
arcadedb_graph_embedded,2.12,12414049,1696.5,0.521,12414049,0-11,26.7.2.dev0,,,,4g,0.583,0.982,3.855,0.893,1.632,2.024,l2,20260707T203801Z,8g,,10000,1.28,1696.5,0.546,0.794,0.874,0,2,l2_arcadedb_graph_embedded_oltp_r2,,,,tiny,,,paper,,,,embedded,2026-07-07T20:44:41.270497+00:00,oltp,7.057,9.558
arcadedb_graph_embedded,3.2,12102905,2012.4,0.517,12102905,0-11,26.7.2.dev0,78.12,56.96,10,4g,,,,,,,l2,20260707T203801Z,8g,,10000,,2012.4,,,,0,3,l2_arcadedb_graph_embedded_olap_r3,65.24,50.45,10,tiny,,,paper,17.82,12.24,10,embedded,2026-07-07T20:44:46.075612+00:00,olap,,
