backend,build_docs_per_s,build_s,client_cpu_usec,client_end_anon_mib,client_end_file_mib,client_peak_anon_mib,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,end_anon_mib_sum,engine_version,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,ingest_rows_per_s,ingest_s,insert_mean_ms,insert_n,insert_p50_ms,insert_p95_ms,insert_p99_ms,k,lane,manifest,mem_cap,mem_split,n_docs,n_persons,n_queries,n_rows,olap_agg_by_region_ms,olap_filtered_avg_ms,olap_range_agg_ms,olap_status_histogram_ms,olap_top_customers_ms,olap_total_ms,oltp_ops_per_s,oltp_total_s,peak_anon_mib_sum,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,qps,query_mean_ms,query_n,query_p50_ms,query_p95_ms,query_p99_ms,rc,read_mean_ms,read_n,read_p50_ms,read_p95_ms,read_p99_ms,recall_at_10,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,schema_s,server_cpu_usec,server_end_anon_mib,server_end_file_mib,server_peak_anon_mib,server_peak_mib,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,update_mean_ms,update_n,update_p50_ms,update_p95_ms,update_p99_ms,workload,write_p50_ms,write_p95_ms
arcadedb_embedded,,,59901931,839.4,218.4,5528.6,6116.6,0.368,59901931,0-11,,839.4,26.8.1.dev0,,,,8g,,,,,,,43286.9,46.2,0.3292,961,0.3192,0.4208,0.4937,,l1,20260711T012458Z,16g,,,,,2000000,,,,,,,6667.7,,5528.6,6116.6,,,,,,,,,,0,0.0789,3088,0.0576,0.1334,0.1811,,2,l1_arcadedb_embedded_oltp_r2,,,,small,0.159,,,,,,paper,,,,embedded,2026-07-11T01:50:45.471108+00:00,0.1997,951,0.1859,0.3538,0.4352,oltp,,
postgres,,,6279292,22.6,0.8,22.6,26.0,0.115,11567541,0-11,,26.9,17.10 (Debian 17.10-1.pgdg13+1),,,,8g,,,,,,,450361.1,4.44,2.7661,961,2.8585,3.2617,4.5174,,l1,20260711T012458Z,16g,0.75,,,,2000000,,,,,,,724.1,,29.1,857.5,,,,,,,,,,0,0.5327,3088,0.5547,0.7848,0.856,,3,l1_postgres_oltp_r3,,,,small,0.017,5288249,4.3,799.7,6.6,831.4,paper,,,,client_server,2026-07-11T01:51:34.134599+00:00,2.7364,951,2.8172,3.2417,4.9766,oltp,,
duckdb,,,25632366,350.1,66.0,741.2,797.1,0.051,25632366,0-11,,350.1,1.5.4,,,,8g,,,,,,,315059.8,6.35,9.0054,961,8.8526,10.2112,14.9216,,l1,20260711T012458Z,16g,,,,,2000000,,,,,,,254.8,,741.2,797.1,,,,,,,,,,0,1.1892,3088,1.1019,1.8982,2.6334,,2,l1_duckdb_oltp_r2,,,,small,0.023,,,,,,paper,,,,embedded,2026-07-11T01:51:49.429825+00:00,7.6764,951,8.3248,9.8778,13.2058,oltp,,
arcadedb_embedded,,,114363937,5554.4,242.7,5554.4,5820.1,0.363,114363937,0-11,,5554.4,26.8.1.dev0,,,,8g,,,,,,,43057.3,46.45,,,,,,,l1,20260711T012458Z,16g,,,,,2000000,1683.515,1170.164,1199.327,1296.177,1451.329,6800.512,,,5554.4,5820.1,,,,,,,,,,0,,,,,,,3,l1_arcadedb_embedded_olap_r3,,,,small,0.161,,,,,,paper,,,,embedded,2026-07-11T01:52:17.075575+00:00,,,,,,olap,,
postgres,,,5779091,22.3,0.8,22.3,26.4,0.115,11029890,0-11,,26.6,17.10 (Debian 17.10-1.pgdg13+1),,,,8g,,,,,,,453549.1,4.41,2.7378,961,2.7049,3.2231,3.3897,,l1,20260711T012458Z,16g,0.75,,,,2000000,,,,,,,783.3,,28.8,857.7,,,,,,,,,,0,0.386,3088,0.3585,0.7673,0.8282,,5,l1_postgres_oltp_r5,,,,small,0.018,5250799,4.3,799.7,6.5,831.3,paper,,,,client_server,2026-07-11T01:53:59.550507+00:00,2.692,951,2.6813,3.1752,3.3452,oltp,,
arcadedb_graph_server,,70.74,3016196,18.4,0.1,19.5,22.4,0.251,105471662,0-11,,5819.5,server:latest,697.13,633.83,10,8g,,,,,,,,,,,,,,,l2,20260711T012458Z,16g,0.75,,100000,,,,,,,,,,,5845.1,6229.9,,,,,,,,,,0,,,,,,,5,l2_arcadedb_graph_server_olap_r5,649.56,640.37,10,small,,102455466,5801.1,152.5,5825.6,6207.5,paper,97.52,86.73,10,client_server,2026-07-11T01:54:14.296580+00:00,,,,,,olap,,
arcadedb_sparse_embedded,18069.3,55.34,179075304,3742.9,389.3,6237.7,6718.2,0.483,179075304,0-11,30000,3742.9,26.8.1.dev0,,,,8g,,,,,,,,,,,,,,10,l3s,20260711T012458Z,16g,,1000000,,500,,,,,,,,,,6237.7,6718.2,,,,149.1,6.705,495,6.518,8.173,9.216,0,,,,,,0.9902,1,l3s_arcadedb_sparse_embedded_search_r1,,,,small,,,,,,,paper,,,,embedded,2026-07-11T01:55:36.780209+00:00,,,,,,search,,
arcadedb_embedded,,,113284747,5552.3,263.0,5552.3,5838.2,0.386,113284747,0-11,,5552.3,26.8.1.dev0,,,,8g,,,,,,,44483.4,44.96,,,,,,,l1,20260711T012458Z,16g,,,,,2000000,1687.224,1176.465,1207.406,1301.542,1454.006,6826.643,,,5552.3,5838.2,,,,,,,,,,0,,,,,,,4,l1_arcadedb_embedded_olap_r4,,,,small,0.16,,,,,,paper,,,,embedded,2026-07-11T01:58:25.097346+00:00,,,,,,olap,,
arcadedb_graph_server,,69.94,3695331,18.4,0.1,19.5,22.2,0.24,99276675,0-11,,5811.2,server:latest,,,,8g,1.184,1.682,2.012,1.58,2.415,3.112,,,,,,,,,l2,20260711T012458Z,16g,0.75,,100000,,,,,,,,,,2.35,5814.8,6226.6,1.021,1.65,1.94,,,,,,,0,,,,,,,3,l2_arcadedb_graph_server_oltp_r3,,,,small,,95581344,5792.8,169.7,5795.3,6204.4,paper,,,,client_server,2026-07-11T02:00:06.360304+00:00,,,,,,oltp,1.355,1.721
neo4j_graph,,47.39,18561085,88.7,1.0,88.7,94.1,0.715,88826216,0-11,,9020.7,neo4j-driver:6.2.0,847.51,839.72,10,8g,,,,,,,,,,,,,,,l2,20260711T012458Z,16g,0.75,,100000,,,,,,,,,,,9020.9,9548.0,,,,,,,,,,0,,,,,,,4,l2_neo4j_graph_olap_r4,819.41,804.96,10,small,,70265131,8932.0,308.8,8932.3,9453.9,paper,509.32,497.55,10,client_server,2026-07-11T02:01:21.770838+00:00,,,,,,olap,,
